Qvsn,Q(V)_100,Q(V)_10
1.0411032,0.873030149,0.883015207
1.0410565,0.874576466,0.884758657
1.0410365,0.876105388,0.886474795
1.0410293,0.877618228,0.888156948
1.0409782,0.879116294,0.88980629
1.0409788,0.88059956,0.891429466
1.0409158,0.882064769,0.893033234
1.0408148,0.883508185,0.894623044
1.0407237,0.884926074,0.896196716
1.0406568,0.886315767,0.897749308
1.040589,0.88767977,0.89927587
1.0405757,0.889022152,0.900772697
1.040598,0.890346981,0.902241992
1.040583,0.891658248,0.903687723
1.0405258,0.892956848,0.905113858
1.0404015,0.894239691,0.906523927
1.0403484,0.895503423,0.907917568
1.0402584,0.89674469,0.909292365
1.040179,0.897960351,0.910645883
1.0401766,0.899151163,0.911975701
1.0400912,0.900321278,0.913280857
1.0400019,0.901474962,0.914563112
1.0398667,0.902616481,0.915824528
1.0398426,0.903750068,0.917067169
1.0397891,0.904877247,0.918293077
1.0397621,0.905994842,0.919503738
1.0397673,0.907099205,0.92070002
1.0398219,0.90818669,0.921882758
1.0397563,0.909253649,0.923052785
1.0397549,0.910296849,0.924210924
1.0396661,0.911317357,0.925357196
1.0396727,0.91231879,0.926490281
1.0395995,0.9133048,0.927608735
1.0395933,0.914279038,0.928711114
1.0395442,0.915245154,0.929795975
1.0394487,0.916206605,0.930862157
1.0394893,0.917163635,0.93191042
1.0395336,0.918113854,0.932942322
1.0394338,0.919054792,0.933959425
1.0395204,0.919983983,0.934963289
1.039513,0.920898956,0.935955475
1.0395423,0.921797244,0.936937288
1.0394253,0.922677137,0.937908558
1.0393405,0.923540034,0.938868581
1.0392427,0.924388134,0.939816655
1.0392523,0.925223636,0.940752075
1.0391874,0.926048739,0.94167414
1.0390673,0.926865642,0.942582167
1.0390826,0.927676525,0.943476195
1.0391134,0.928482439,0.944357126
1.0390642,0.929282655,0.945225916
1.0389737,0.930076285,0.94608352
1.0389522,0.930862445,0.946930893
1.0388381,0.931640246,0.94776899
1.038782,0.932408804,0.94859862
1.0385771,0.933167302,0.949419274
1.038532,0.933915767,0.950229745
1.0371765,0.93465479,0.951028818
1.0382333,0.935384972,0.951815282
1.0382152,0.936106911,0.952587922
1.0381186,0.93682121,0.953345526
1.0382189,0.937528467,0.954087506
1.0383171,0.938229208,0.954815349
1.0383121,0.938923638,0.955530962
1.0382937,0.939611875,0.956236258
1.0382946,0.940294038,0.956933146
1.0383391,0.940970246,0.957623536
1.0383613,0.941640618,0.958309312
1.0383145,0.942305268,0.958991158
1.0382397,0.942964047,0.959668098
1.0382212,0.943616365,0.960339033
1.03828,0.944261586,0.961002865
1.0382785,0.944899077,0.961658495
1.0382307,0.945528202,0.962304825
1.0382323,0.946148329,0.962940859
1.038177,0.946758911,0.963566665
1.0381389,0.94736054,0.964182942
1.0381581,0.94795459,0.964790398
1.0380985,0.948542453,0.96538974
1.0379032,0.949125519,0.965981675
1.0379546,0.949705181,0.966566912
1.0378716,0.950282828,0.967146016
1.0376979,0.950859462,0.967718982
1.03768,0.951434326,0.968285654
1.0375344,0.952006167,0.968845879
1.0374496,0.952573733,0.969399501
1.0373961,0.95313577,0.969946368
1.0371991,0.953691025,0.970486326
1.0370371,0.954238256,0.971019446
1.0369288,0.954777069,0.971546159
1.0368629,0.955308541,0.97206693
1.0367806,0.955833895,0.972582226
1.036756,0.956354355,0.973092511
1.0365028,0.956871144,0.973598251
1.0365349,0.957385485,0.974099875
1.0364292,0.957898524,0.974597314
1.036436,0.958410272,0.975090139
1.0365776,0.958919891,0.975577914
1.0365659,0.959426519,0.976060202
1.0365613,0.959929297,0.976536566
1.036533,0.960427364,0.977006572
1.036546,0.960919858,0.977469981
1.0364852,0.961406122,0.977927451
1.0365334,0.961886462,0.978379889
1.0365598,0.962361475,0.978828201
1.0365043,0.962831758,0.979273297
1.0366498,0.963297906,0.979716083
1.0367659,0.963760518,0.980157457
1.036751,0.964220187,0.98059763
1.0367689,0.964677325,0.981035633
1.0368155,0.965131998,0.981470386
1.0366702,0.965584235,0.981900806
1.0365981,0.966034063,0.982325811
1.0366343,0.966481513,0.982744318
1.0365555,0.966926613,0.983155325
1.0365336,0.96736937,0.983558873
1.036392,0.967809426,0.983955745
1.0363234,0.968246103,0.984346738
1.0362908,0.968678714,0.984732653
1.0361267,0.969106573,0.985114286
1.0361005,0.969528993,0.985492437
1.0359331,0.969945285,0.985867822
1.03588,0.970354983,0.986240713
1.0358068,0.970758967,0.986611234
1.0357925,0.971158632,0.986979511
1.0356452,0.971555373,0.987345669
1.0355209,0.971950585,0.987709831
1.0353787,0.972345664,0.988072123
1.0352824,0.972742001,0.988432517
1.0351453,0.973140252,0.988790681
1.0350676,0.973539406,0.989146244
1.035027,0.973938225,0.989498837
1.0350136,0.97433547,0.989848089
1.0349687,0.974729902,0.990193631
1.0337447,0.975120282,0.990535119
1.0349512,0.975505403,0.990872693
1.0348333,0.975884863,0.991206918
1.0348302,0.976259087,0.991538371
1.0348462,0.97662854,0.991867631
1.0349251,0.976993684,0.992195276
1.0348498,0.977354985,0.992521886
1.0349033,0.977712906,0.992847906
1.034834,0.978067905,0.993173001
1.0347919,0.978420396,0.993496549
1.0346886,0.978770773,0.993817927
1.0346413,0.979119428,0.994136511
1.0345213,0.979466756,0.99445168
1.0345024,0.979813149,0.994762811
1.0344871,0.980159001,0.995069481
1.0343207,0.980504516,0.995371828
1.034169,0.980849367,0.995670085
1.0340202,0.98119313,0.995964485
1.03408,0.981535383,0.99625526
1.0339134,0.981875703,0.996542644
1.0337766,0.982213665,0.996826871
1.0336887,0.982548853,0.997108234
1.0336385,0.98288096,0.997387089
1.0336438,0.983209813,0.997663798
1.0335466,0.983535248,0.997938721
1.0334878,0.983857099,0.998212219
1.0334224,0.9841752,0.998484652
1.0333835,0.984489385,0.998756366
1.0332961,0.984799544,0.999027577
1.0332175,0.985106185,0.999298443
1.0331272,0.985410208,0.999569121
1.0330735,0.985712517,0.999839767
1.0330155,0.986014018,1.000110539
1.0330359,0.986315616,1.000381592
1.0329647,0.986618218,1.000652868
1.032934,0.98692246,1.00092346
1.0328512,0.987227698,1.001192251
1.0327555,0.9875329,1.001458128
1.0327597,0.987837038,1.001719975
1.0327587,0.988139083,1.001976676
1.0327265,0.988438005,1.002227125
1.0327297,0.988732778,1.002471013
1.0326227,0.989022912,1.002709551
1.0326824,0.989308955,1.002944122
1.0326464,0.989591575,1.003176107
1.0325994,0.989871441,1.003406887
1.03257,0.990149221,1.003637844
1.0324867,0.990425583,1.003870283
1.0324804,0.990701176,1.004104348
1.0324035,0.990976206,1.004339286
1.0323417,0.991250456,1.004574323
1.032285,0.991523695,1.004808682
1.0322436,0.99179569,1.005041588
1.0321743,0.992066208,1.005272265
1.0321631,0.992335016,1.00550004
1.0320629,0.99260189,1.005724829
1.0320343,0.992866662,1.005946758
1.0320256,0.99312919,1.006165952
1.0319343,0.993389329,1.006382539
1.0318315,0.993646936,1.006596642
1.0318521,0.993901867,1.006808389
1.0317426,0.99415398,1.007017919
1.0316066,0.994403332,1.007225418
1.0315382,0.994650512,1.007431076
1.0313703,0.994896197,1.007635087
1.0312965,0.995141066,1.007837643
1.0312171,0.995385794,1.008038935
1.0310503,0.995631059,1.008239156
1.0311021,0.995877512,1.008438475
1.0309707,0.996125022,1.008637037
1.0309296,0.996372574,1.008834985
1.0309302,0.996619103,1.009032463
1.0308303,0.996863545,1.009229612
1.0307988,0.997104836,1.009426577
1.0306748,0.997341911,1.009623466
1.0307182,0.997573883,1.009820101
1.0306594,0.997801245,1.010016172
1.030733,0.998025137,1.010211363
1.0306702,0.998246703,1.010405361
1.0306683,0.998467087,1.010597853
1.0306073,0.998687433,1.010788525
1.03058,0.998908884,1.010977139
1.0305346,0.999132193,1.011163695
1.0304801,0.999356694,1.011348233
1.0304379,0.999581399,1.011530795
1.0303391,0.999805323,1.011711423
1.030332,1.000027478,1.011890158
1.0301967,1.000246877,1.012067042
1.0301814,1.000462546,1.012242123
1.0300944,1.000674147,1.012415456
1.0299776,1.00088229,1.012587097
1.0298594,1.001087661,1.012757104
1.0297375,1.001290947,1.012925532
1.0296848,1.001492834,1.013092437
1.0295999,1.00169401,1.013257888
1.0294458,1.001895124,1.01342207
1.0293763,1.002096301,1.01358524
1.0292301,1.002297268,1.013747657
1.0291126,1.002497744,1.013909579
1.0289708,1.002697446,1.014071265
1.0288959,1.002896093,1.014232973
1.0288279,1.003093403,1.014394855
1.0288386,1.00328916,1.01455665
1.0287161,1.003483508,1.014717995
1.0286475,1.003676717,1.014878529
1.0286523,1.003869055,1.015037889
1.0286738,1.004060792,1.015195715
1.0286613,1.004252197,1.015351646
1.0286146,1.004443538,1.01550548
1.028603,1.004634905,1.015657317
1.0285937,1.004825986,1.015807286
1.0285741,1.005016417,1.01595552
1.0284855,1.005205831,1.016102149
1.0284504,1.005393864,1.016247306
1.0284169,1.005580149,1.016391126
1.0284607,1.005764328,1.016533848
1.0284244,1.005946246,1.016675802
1.0283698,1.006125967,1.016817318
1.0283017,1.006303565,1.016958727
1.0283003,1.006479117,1.017100361
1.0282297,1.006652696,1.01724255
1.0281748,1.006824379,1.017385576
1.0280347,1.006994242,1.017529213
1.0279062,1.007162384,1.01767294
1.027791,1.007328922,1.017816233
1.0276424,1.007493968,1.017958566
1.0276319,1.007657639,1.018099417
1.0276242,1.007820049,1.01823826
1.027517,1.007981313,1.018374659
1.0273931,1.008141559,1.018508603
1.0272677,1.008300976,1.018640212
1.0271609,1.008459767,1.018769607
1.0270532,1.008618134,1.018896907
1.0269116,1.008776279,1.019022233
1.0268342,1.008934407,1.019145704
1.0266427,1.009092716,1.019267488
1.0266557,1.009251203,1.019387847
1.026587,1.009409501,1.019507056
1.0264586,1.009567211,1.01962539
1.0264561,1.00972393,1.019743125
1.026448,1.009879256,1.019860534
1.0264626,1.01003279,1.019977892
1.0264156,1.010184156,1.020095348
1.0263715,1.010333388,1.020212896
1.0263449,1.01048084,1.020330519
1.026269,1.010626873,1.020448198
1.0262661,1.010771848,1.020565917
1.0261644,1.010916129,1.020683658
1.0261168,1.011060077,1.020801367
1.0260584,1.011203972,1.020918649
1.0260094,1.011347653,1.021034914
1.0260046,1.011490806,1.021149572
1.0259695,1.011633118,1.02126203
1.0259411,1.011774273,1.021371698
1.025898,1.011913959,1.021477984
1.0258402,1.012051861,1.021580485
1.0257891,1.012187875,1.021679932
1.0257609,1.012322501,1.021777484
1.025663,1.012456352,1.0218743
1.0255886,1.012590042,1.021971541
1.0255809,1.012724183,1.022070364
1.0255224,1.012859387,1.022171928
1.0254449,1.012996252,1.022276819
1.0252969,1.013134703,1.022384275
1.0252699,1.013273753,1.022493333
1.025156,1.01341235,1.022603033
1.0251051,1.013549442,1.022712416
1.0250961,1.013683978,1.02282052
1.0250121,1.013814905,1.022926402
1.0248729,1.013941286,1.023029669
1.0248183,1.014063299,1.02313057
1.0247746,1.01418175,1.023229389
1.0247884,1.014297453,1.023326412
1.0246379,1.01441122,1.023421923
1.0246047,1.014523865,1.023516207
1.0245768,1.014636202,1.023609538
1.0244119,1.014748917,1.023702062
1.0242696,1.014862168,1.023793861
1.0241337,1.014975972,1.023885013
1.0240964,1.015090346,1.023975597
1.0239893,1.015205307,1.024065694
1.0238781,1.015320871,1.024155381
1.0238478,1.015437056,1.02424471
1.0238019,1.015553732,1.024333569
1.0237211,1.015670393,1.0244218
1.0236617,1.015786475,1.02450924
1.0236336,1.015901416,1.024595728
1.0234998,1.016014649,1.024681103
1.0234709,1.016125612,1.024765204
1.0233659,1.016233754,1.024847893
1.0233372,1.016339012,1.024929122
1.0232006,1.016441906,1.025008869
1.0231189,1.016542991,1.025087107
1.0230423,1.016642821,1.025163814
1.0229225,1.016741953,1.025238966
1.0227666,1.01684094,1.025312537
1.0227325,1.016940322,1.025384634
1.0226969,1.017040374,1.025455891
1.0226026,1.017141154,1.025527077
1.0225302,1.01724271,1.025598962
1.0224704,1.017345093,1.025672315
1.0223863,1.017448352,1.025747906
